Time,Age,
58.68,5,
59.05,5,
21.55,5,
39.82,6,
40.82,6,
44.95,6,
44.95,6,
45.94,6,
47.35,6,
49.30,6,
49.54,6,
49.98,6,
50.44,6,
51.69,6,
51.75,6,
52.11,6,
55.11,6,
55.68,6,
56.48,6,
57.48,6,
58.46,6,
59.57,6,
19.66,6,
19.73,6,
19.87,6,
20.48,6,
20.57,6,
20.63,6,
20.88,6,
20.98,6,
21.10,6,
21.11,6,
21.16,6,
21.17,6,
21.22,6,
21.31,6,
21.32,6,
21.36,6,
21.42,6,
21.48,6,
21.51,6,
21.51,6,
21.54,6,
21.55,6,
21.55,6,
35.98,7,
36.59,7,
37.21,7,
39.53,7,
39.64,7,
39.74,7,
39.80,7,
41.28,7,
41.58,7,
41.84,7,
42.02,7,
42.21,7,
42.30,7,
42.38,7,
43.01,7,
43.06,7,
43.66,7,
44.13,7,
44.29,7,
44.72,7,
44.84,7,
44.84,7,
45.01,7,
45.52,7,
45.53,7,
45.54,7,
45.71,7,
46.12,7,
46.23,7,
46.38,7,
46.48,7,
46.52,7,
46.57,7,
46.76,7,
47.23,7,
47.28,7,
47.29,7,
47.34,7,
47.44,7,
47.57,7,
47.60,7,
48.02,7,
48.19,7,
48.62,7,
48.96,7,
49.09,7,
49.12,7,
49.20,7,
49.23,7,
49.24,7,
49.43,7,
49.69,7,
49.69,7,
49.71,7,
49.74,7,
49.81,7,
50.75,7,
50.77,7,
50.82,7,
50.94,7,
50.95,7,
51.34,7,
51.48,7,
51.63,7,
51.78,7,
52.12,7,
52.28,7,
52.51,7,
52.72,7,
52.76,7,
53.16,7,
53.40,7,
53.74,7,
54.12,7,
54.33,7,
54.52,7,
54.59,7,
56.00,7,
56.06,7,
56.84,7,
57.30,7,
57.71,7,
59.30,7,
59.66,7,
20.06,7,
20.25,7,
20.48,7,
20.69,7,
20.69,7,
20.73,7,
20.77,7,
21.02,7,
21.36,7,
21.43,7,
21.55,7,
30.38,8,
31.36,8,
31.56,8,
31.57,8,
32.20,8,
32.23,8,
32.74,8,
33.03,8,
33.67,8,
33.75,8,
33.80,8,
33.83,8,
33.87,8,
33.99,8,
34.00,8,
34.02,8,
34.26,8,
34.29,8,
34.29,8,
34.33,8,
34.42,8,
34.89,8,
35.93,8,
36.30,8,
36.30,8,
36.45,8,
36.77,8,
36.95,8,
37.02,8,
37.38,8,
37.48,8,
37.53,8,
37.66,8,
37.70,8,
37.71,8,
